architecture,algorithm,compiler,optimization,filename,function_name,function_address,label,num_basic_blocks,num_edges,cyclomatic_complexity,loop_count,loop_depth,branch_density,average_block_size,num_entry_exit_paths,strongly_connected_components,num_conditional_edges,num_unconditional_edges,num_loop_edges,avg_edge_branch_condition_complexplexity,instruction_count,immediate_entropy,bitwise_op_density,crypto_constant_hits,branch_condition_complexity,add_ratio,logical_ratio,load_store_ratio,xor_ratio,multiply_ratio,rotate_ratio,has_aes_sbox,rsa_bigint_detected,has_aes_rcon,has_sha_constants,rodata_refs_count,string_refs_count,stack_frame_size,bitwise_ops,crypto_like_ops,arithmetic_ops,mem_ops_ratio,function_byte_entropy,opcode_entropy,cyclomatic_complexity_density,unique_ngram_count,source_file
riscv,Non-Crypto,clang,O0,ecc_riscv_clang_O0.elf,FUN_00100650,100650,Non-Crypto,1.0,1.0,2.0,0.0,0.0,0.0,3.0,0.0,2.0,0.0,1.0,0.0,0.0,3.0,1.887400476,0.181818182,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,True,False,False,1.0,0.0,0.0,2.0,1.0,3.0,0.090909091,2.855388542,1.971747257,0.666666667,2.0,ecc_crypto_dataset.csv
riscv,Non-Crypto,clang,O0,ecc_riscv_clang_O0.elf,FUN_00100660,100660,Non-Crypto,1.0,1.0,2.0,0.0,0.0,0.0,3.0,0.0,2.0,0.0,1.0,0.0,0.0,3.0,1.887400476,0.181818182,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,True,False,False,1.0,0.0,0.0,2.0,1.0,3.0,0.090909091,2.688721876,1.971747257,0.666666667,2.0,ecc_crypto_dataset.csv
riscv,Non-Crypto,clang,O0,ecc_riscv_clang_O0.elf,FUN_00100670,100670,Non-Crypto,1.0,1.0,2.0,0.0,0.0,0.0,3.0,0.0,2.0,0.0,1.0,0.0,0.0,3.0,1.887400476,0.181818182,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,True,False,False,1.0,0.0,0.0,2.0,1.0,3.0,0.090909091,2.855388542,1.971747257,0.666666667,2.0,ecc_crypto_dataset.csv
riscv,Non-Crypto,clang,O0,ecc_riscv_clang_O0.elf,FUN_00100680,100680,Non-Crypto,1.0,1.0,2.0,0.0,0.0,0.0,3.0,0.0,2.0,0.0,1.0,0.0,0.0,3.0,1.887400476,0.181818182,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,True,False,False,1.0,0.0,0.0,2.0,1.0,3.0,0.090909091,2.688721876,1.971747257,0.666666667,2.0,ecc_crypto_dataset.csv
riscv,Non-Crypto,clang,O0,ecc_riscv_clang_O0.elf,FUN_00100690,100690,Non-Crypto,1.0,1.0,2.0,0.0,0.0,0.0,3.0,0.0,2.0,0.0,1.0,0.0,0.0,3.0,1.887400476,0.181818182,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,True,False,False,1.0,0.0,0.0,2.0,1.0,3.0,0.090909091,2.855388542,1.971747257,0.666666667,2.0,ecc_crypto_dataset.csv
riscv,Non-Crypto,clang,O0,ecc_riscv_clang_O0.elf,_start,001006a0,Non-Crypto,1.0,3.0,4.0,1.0,1.0,0.333333333,12.0,0.0,3.0,0.0,3.0,1.0,0.0,12.0,1.909598018,0.086956522,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,True,False,False,1.0,0.0,0.0,2.0,1.0,4.0,0.086956522,4.616874606,1.910269941,0.333333333,11.0,ecc_crypto_dataset.csv
riscv,Non-Crypto,clang,O0,ecc_riscv_clang_O0.elf,_PREINIT_0,001006c2,Non-Crypto,1.0,0.0,1.0,0.0,0.0,0.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,3.0,1.513116855,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,True,False,False,0.0,0.0,0.0,1.0,1.0,2.0,0.0,3.121928095,1.921928095,0.333333333,2.0,ecc_crypto_dataset.csv
riscv,Non-Crypto,clang,O0,ecc_riscv_clang_O0.elf,deregister_tm_clones,001006ce,Non-Crypto,4.0,5.0,3.0,0.0,0.0,0.0,2.5,1.0,5.0,2.0,3.0,0.0,0.0,10.0,1.034242869,0.085714286,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,True,False,False,2.0,0.0,0.0,3.0,3.0,6.0,0.052631579,4.134334254,2.259799223,0.3,8.0,ecc_crypto_dataset.csv
riscv,Non-Crypto,clang,O0,ecc_riscv_clang_O0.elf,register_tm_clones,001006f0,Non-Crypto,4.0,5.0,3.0,0.0,0.0,0.0,3.75,1.0,5.0,2.0,3.0,0.0,0.0,15.0,0.938841626,0.10515873,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,True,False,False,2.0,0.0,0.0,6.0,4.0,8.0,0.037037037,4.407962016,2.646157985,0.2,13.0,ecc_crypto_dataset.csv
riscv,Non-Crypto,clang,O0,ecc_riscv_clang_O0.elf,__do_global_dtors_aux,0010071c,Non-Crypto,5.0,8.0,5.0,1.0,1.0,0.125,4.0,2.0,7.0,2.0,6.0,1.0,0.0,20.0,1.567499428,0.068253968,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,True,False,False,1.0,0.0,16.0,3.0,3.0,14.0,0.166666667,4.960755133,2.311358185,0.25,18.0,ecc_crypto_dataset.csv
